特征,相关性,绝对相关性
小时_sin,-0.15119597227467121,0.15119597227467121
小时,0.13588203963753342,0.13588203963753342
月份,-0.08000543944725555,0.08000543944725555
月份_sin,0.0689745769149795,0.0689745769149795
气象_surface_pressure (hPa),0.05290776637874958,0.05290776637874958
引火源_烟花,0.051243037575329754,0.051243037575329754
气象_temperature_2m (°C),-0.050684820984781075,0.050684820984781075
起火物类型_花草,0.04356496531490729,0.04356496531490729
月份_cos,0.043322893692535815,0.043322893692535815
起火物类型_其他用电器具,-0.03720344526391836,0.03720344526391836
引火源_电器,0.033241225388299,0.033241225388299
引火源_烟头,0.03291720697159906,0.03291720697159906
起火物类型_植物,0.03259792883777293,0.03259792883777293
起火位置_居住场所,0.029524973545626422,0.029524973545626422
起火物_杂草,0.027551723435060627,0.027551723435060627
起火物类型_电器,-0.027157034515051293,0.027157034515051293
起火物类型_垃圾等废弃资源,0.02702926731025208,0.02702926731025208
起火物类型_生活垃圾,0.02614953473431601,0.02614953473431601
起火物类型_树木、灌木,0.022239877850003895,0.022239877850003895
气象_winddirection_100m (°),-0.02152151129476458,0.02152151129476458
引火源_遗留火种,0.020235470626161142,0.020235470626161142
气象_windspeed_10m (m/s),0.019482365597810872,0.019482365597810872
气象_windgusts_10m (m/s),0.019221609203613866,0.019221609203613866
起火物类型_未知,-0.01876860422707676,0.01876860422707676
引火源_明火,0.01829852562613604,0.01829852562613604
气象_winddirection_10m (°),-0.018242724892823442,0.018242724892823442
气象_precipitation (mm),-0.018108201022167605,0.018108201022167605
引火源_火,0.017380822085858182,0.017380822085858182
小时_cos,-0.0165018803597469,0.0165018803597469
气象_windspeed_100m (m/s),0.015816014193725244,0.015816014193725244
起火位置_厨房,0.015172950253477107,0.015172950253477107
起火位置_辅助功能及其他区域,0.01514442377884605,0.01514442377884605
引火源_油脂油污,0.014090621915293857,0.014090621915293857
起火位置_阳台,0.013859804929406803,0.013859804929406803
引火源_外来火源,0.013798602696553449,0.013798602696553449
起火位置_屋顶平台,0.013197694090085726,0.013197694090085726
起火物类型_厨卫电器,0.013070162709694178,0.013070162709694178
起火物_树木,0.012014682755683114,0.012014682755683114
气象_relativehumidity_2m (%),-0.011914110228104392,0.011914110228104392
引火源_爆竹,0.011908360770582464,0.011908360770582464
引火源_电线,0.011328205287856115,0.011328205287856115
起火物类型_炊器具（非电器）,0.010965131221313191,0.010965131221313191
起火物_垃圾,0.010386017035589971,0.010386017035589971
起火物类型_木质家具及制品,0.01004732353995324,0.01004732353995324
起火物_花草,0.009677650026730844,0.009677650026730844
引火源_油烟机,0.00960143107973154,0.00960143107973154
